Hour,Mean,Variance,Skew,Kurtosis,Positive,Negative,Zero
0,-3.743646434011905e-05,1.7361554071571167e-06,-2.4513644307190754,17.05104898893531,0.5,0.4789915966386555,0.02100840336134454
1,0.00010418257698315808,3.990424445148638e-06,-0.10053537755121,10.477144159518112,0.5147058823529411,0.47478991596638653,0.01050420168067227
2,7.066336153763758e-05,2.228668852760389e-06,1.3825460460041807,9.200140915703065,0.47478991596638653,0.5105042016806722,0.014705882352941176
3,4.981090058380761e-06,1.4517870616165538e-06,-1.5856917443889642,13.524817353488206,0.5042016806722689,0.4726890756302521,0.023109243697478993
4,-1.264535478130517e-05,9.975288524413366e-07,-0.0003196143224579933,10.48746260947433,0.4589473684210526,0.5178947368421053,0.023157894736842106
5,-5.616238937548824e-05,2.020311762716589e-06,0.6244980156693389,8.11109863579727,0.5094339622641509,0.4863731656184486,0.0041928721174004195
6,9.955788720670066e-06,2.4096526512399956e-06,-1.360124009243547,7.635331305350569,0.5220125786163522,0.47379454926624737,0.0041928721174004195
7,0.0002153965313665287,4.868764169025821e-06,3.520752276088765,26.800916189660796,0.5178197064989518,0.46750524109014674,0.014675052410901468
8,0.00011531012787019226,4.03374133365473e-06,-1.285032584294166,27.39147098327293,0.5513626834381551,0.43186582809224316,0.016771488469601678
9,0.00019846059775408754,2.7408985138431623e-06,4.523156621282608,55.66456295138322,0.5345911949685535,0.46331236897274636,0.0020964360587002098
10,0.00013103003651811215,2.0915492608545806e-06,-0.5756429711672115,5.3675821239305925,0.5345911949685535,0.44863731656184486,0.016771488469601678
11,-2.5889767838489272e-05,2.1569709475380315e-06,-1.0152598241574649,5.547948511229459,0.5094339622641509,0.469601677148847,0.020964360587002098
12,-3.017148542527113e-05,6.733434522174506e-06,-0.18395744156022284,4.276288346929084,0.49056603773584906,0.5031446540880503,0.006289308176100629
13,-5.849605023635541e-05,9.627835500709182e-06,-0.40787850795846936,1.6810555315751383,0.49269311064718163,0.49269311064718163,0.014613778705636743
14,-1.9382818653355357e-05,9.968121790946772e-06,-0.3561825200401349,1.8224470697615898,0.487551867219917,0.504149377593361,0.008298755186721992
15,-4.5200442021508115e-05,6.142142710317053e-06,-0.5436734934223159,4.049308194707715,0.47717842323651455,0.5124481327800829,0.01037344398340249
16,0.00011009152161066594,3.421103976627558e-06,-0.7362598402172096,3.7901456691862867,0.5186721991701245,0.46473029045643155,0.016597510373443983
17,-6.064915296055684e-06,2.340848557768577e-06,0.018015882247168186,2.1691154181578014,0.49166666666666664,0.49375,0.014583333333333334
18,4.604596359961872e-05,2.354320198400836e-06,1.2889688797907255,14.142813592379113,0.4989517819706499,0.47379454926624737,0.027253668763102725
19,-3.37861967004314e-05,2.8556207202563312e-06,0.3569542907467673,27.223831698039177,0.46750524109014674,0.5031446540880503,0.029350104821802937
20,0.00010262759115008719,1.4239707587185093e-06,0.4059983842057034,9.966398280255126,0.5189075630252101,0.46008403361344535,0.02100840336134454
21,0.0002318358309310541,5.585674350954046e-07,0.3467894072732438,4.179578237304461,0.592814371257485,0.3772455089820359,0.029940119760479042
22,4.495790211236476e-05,2.1427835052368366e-06,1.1762098477588092,17.416488630287173,0.47896440129449835,0.4854368932038835,0.03559870550161812
23,9.891712126507287e-05,1.8427483946893478e-06,7.969026985818925,128.5011236803695,0.5168067226890757,0.453781512605042,0.029411764705882353
