Strategy,Total Return,Sharpe,Max Drawdown,Win Rate
Benchmark 1,-0.0253,-0.0074,0.203,0.5005
Benchmark 2,-0.285,-0.0785,0.3412,0.4866
Strategy 1,-0.3397,-0.0983,0.3484,0.4817
Strategy 2a,-0.0179,-0.0151,0.0559,0.5037
Strategy 2b,-0.019,-0.0106,0.0691,0.5037
Strategy 2c,-0.0118,-0.0056,0.0812,0.5037
Strategy 3a,-0.0263,-0.0208,0.0634,0.5037
Strategy 3b,-0.0402,-0.0198,0.0891,0.5037
Strategy 3c,-0.0253,-0.0104,0.0889,0.5037
