Strategy,Total Return,Sharpe,Max Drawdown,Win Rate
Benchmark 1,0.1662,0.0864,0.0628,0.5233
Benchmark 2,-0.1503,-0.0711,0.2375,0.4955
Strategy 1,-0.598,-0.2991,0.6264,0.4173
Strategy 2a,0.0255,0.0642,0.0085,0.4913
Strategy 2b,0.0313,0.0472,0.0164,0.4913
Strategy 2c,0.028,0.0333,0.0249,0.4913
Strategy 3a,0.0214,0.0558,0.01,0.4913
Strategy 3b,0.0377,0.0514,0.02,0.4913
Strategy 3c,0.0477,0.0476,0.0308,0.4913
