Strategy,Total Return,Sharpe,Max Drawdown,Win Rate
Benchmark 1,0.1662,0.0864,0.0628,0.5233
Benchmark 2,-0.1503,-0.0711,0.2375,0.4955
Strategy 1,-0.3229,-0.1644,0.3675,0.4589
Strategy 2a,-0.0094,-0.0158,0.0445,0.4899
Strategy 2b,-0.0152,-0.017,0.0635,0.4899
Strategy 2c,-0.014,-0.0129,0.0715,0.4899
Strategy 3a,-0.001,-0.0015,0.0383,0.4899
Strategy 3b,-0.0103,-0.0091,0.0762,0.4899
Strategy 3c,-0.0201,-0.0144,0.0985,0.4899
